,Unnamed: 0.1,Unnamed: 0,fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
26,103,103,Megan Anderson,6' 0,145 lbs.,6' 0,Orthodox,"Feb 11, 1990",1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5
27,104,104,Viscardi Andrade,5' 11,170 lbs.,5' 11,Orthodox,"Mar 08, 1984",3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3
28,107,107,Jessica Andrade,5' 1,115 lbs.,5' 1,Orthodox,"Sep 25, 1991",6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4
29,109,109,Dylan Andrews,6' 1,185 lbs.,6' 1,Switch,"Nov 15, 1979",2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4
30,114,114,Nina Ansaroff,5' 5,115 lbs.,5' 5,Orthodox,"Dec 03, 1985",4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6
31,117,117,Gadzhimurad Antigulov,5' 11,205 lbs.,5' 11,Orthodox,"Feb 09, 1987",2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4
32,126,126,Igor Araujo,6' 1,170 lbs.,6' 1,Orthodox,"Dec 06, 1980",1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6
33,127,127,Felipe Arantes,5' 8,135 lbs.,5' 8,Orthodox,"Feb 09, 1988",2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7
34,128,128,Julio Arce,5' 7,145 lbs.,5' 7,Southpaw,"Oct 27, 1989",4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6
35,129,129,Viviane Araujo,5' 4,125 lbs.,5' 4,Orthodox,"Nov 21, 1986",4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2
36,133,133,Andrei Arlovski,6' 3,240 lbs.,6' 3,Orthodox,"Feb 04, 1979",3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3
37,134,134,Akbarh Arreola,5' 10,155 lbs.,5' 10,Southpaw,"Jan 14, 1983",2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4
38,137,137,Austin Arnett,6' 0,145 lbs.,6' 0,Orthodox,"Oct 22, 1991",4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2
39,138,138,Matt Arroyo,5' 10,170 lbs.,5' 10,Orthodox,"Sep 01, 1982",1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3
40,139,139,Antonio Arroyo,6' 3,185 lbs.,6' 3,Orthodox,"Jul 01, 1989",3.08,0.7,1.72,0.44,1.4,0.41,0.32,0.3
41,147,147,Cyril Asker,6' 0,247 lbs.,6' 0,Orthodox,"Dec 24, 1985",3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9
42,148,148,Scott Askham,6' 3,185 lbs.,6' 3,Southpaw,"May 20, 1988",3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7
43,149,149,Ben Askren,5' 11,170 lbs.,5' 11,Orthodox,"Jul 18, 1984",3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9
44,151,151,Tom Aspinall,6' 5,256 lbs.,6' 5,Orthodox,"Apr 11, 1993",7.43,0.66,3.06,0.65,3.54,1.0,0.0,1.8
45,153,153,Junior Assuncao,5' 9,145 lbs.,5' 9,Orthodox,"Jun 24, 1981",3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7
46,154,154,Raphael Assuncao,5' 5,135 lbs.,5' 5,Orthodox,"Jul 19, 1982",3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3
47,158,158,Olivier Aubin-Mercier,5' 9,155 lbs.,5' 9,Southpaw,"Feb 23, 1989",2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5
48,160,160,Marcus Aurelio,5' 10,155 lbs.,5' 10,Orthodox,"Aug 18, 1973",1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
49,163,163,Blas Avena,6' 0,170 lbs.,6' 0,Orthodox,"Jun 30, 1983",2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8
50,174,174,Hunter Azure,5' 8,145 lbs.,5' 8,Orthodox,"Mar 02, 1992",4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4
51,177,177,Miguel Baeza,6' 2,170 lbs.,6' 2,Orthodox,"Aug 23, 1992",4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2
52,178,178,Ali Bagautinov,5' 4,125 lbs.,5' 4,Orthodox,"Jun 10, 1985",2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3
53,179,179,Seth Baczynski,6' 3,170 lbs.,6' 3,Orthodox,"Oct 26, 1981",3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8
54,180,180,Ryan Bader,6' 2,205 lbs.,6' 2,Orthodox,"Jun 07, 1983",2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4
55,183,183,Siyar Bahadurzada,5' 11,170 lbs.,5' 11,Orthodox,"Apr 17, 1984",2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3
56,192,192,Humberto Bandenay,5' 11,145 lbs.,5' 11,Southpaw,"Sep 04, 1994",2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5
57,193,193,Tae Hyun Bang,5' 9,155 lbs.,5' 9,Switch,"Apr 15, 1983",2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5
58,194,194,Maycee Barber,5' 5,125 lbs.,5' 5,Switch,"May 18, 1998",5.21,0.52,3.0,0.5,1.44,0.4,0.8,0.2
59,197,197,Antonio Banuelos,5' 5,135 lbs.,5' 5,Orthodox,"Sep 23, 1979",2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4
60,198,198,Bryan Barberena,6' 0,170 lbs.,6' 0,Southpaw,"May 03, 1989",5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5
61,199,199,Renan Barao,5' 6,145 lbs.,5' 6,Orthodox,"Jan 31, 1987",3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5
62,200,200,Edson Barboza,5' 11,145 lbs.,5' 11,Orthodox,"Jan 21, 1986",3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1
63,203,203,Raoni Barcelos,5' 7,135 lbs.,5' 7,Orthodox,"May 01, 1987",5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7
64,204,204,Luke Barnatt,6' 6,185 lbs.,6' 6,Orthodox,"Apr 13, 1988",4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4
65,207,207,Phil Baroni,5' 9,170 lbs.,5' 9,Orthodox,"Apr 16, 1976",2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5
66,208,208,Josh Barnett,6' 3,250 lbs.,6' 3,Orthodox,"Nov 10, 1977",3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4
67,219,219,Enrique Barzola,5' 7,145 lbs.,5' 7,Orthodox,"Apr 28, 1989",3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3
68,229,229,Chris Beal,5' 7,125 lbs.,5' 7,Orthodox,"Aug 06, 1985",3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2
69,236,236,Chase Beebe,5' 7,135 lbs.,5' 7,Orthodox,"Mar 29, 1985",2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9
70,238,238,Mirsad Bektic,5' 8,145 lbs.,5' 8,Orthodox,"Feb 16, 1991",2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4
71,240,240,Alan Belcher,6' 2,185 lbs.,6' 2,Orthodox,"Apr 24, 1984",2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9
72,242,242,Vitor Belfort,6' 0,185 lbs.,6' 0,Southpaw,"Apr 01, 1977",1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6
73,244,244,Marco Beltran,5' 8,125 lbs.,5' 8,Orthodox,"May 18, 1986",2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2
74,246,246,Joseph Benavidez,5' 4,125 lbs.,5' 4,Southpaw,"Jul 31, 1984",3.52,0.34,2.67,0.61,1.41,0.3,0.62,0.6
75,249,249,Gabriel Benitez,5' 8,155 lbs.,5' 8,Southpaw,"Jun 15, 1988",4.38,0.38,3.26,0.7,0.17,0.5,0.56,1.2
76,256,256,Ryan Benoit,5' 5,125 lbs.,5' 5,Orthodox,"Aug 25, 1989",2.95,0.41,3.4,0.6,0.33,0.25,0.7,0.5
77,262,262,Dennis Bermudez,5' 6,155 lbs.,5' 6,Orthodox,"Dec 13, 1986",4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1
78,264,264,Talita Bernardo,5' 4,135 lbs.,5' 4,Orthodox,"Mar 04, 1987",3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5
79,265,265,Manny Bermudez,5' 10,145 lbs.,5' 10,Orthodox,"Jul 16, 1994",2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1
80,272,272,Matt Bessette,5' 10,145 lbs.,5' 10,Orthodox,"Dec 28, 1984",4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3
81,285,285,Michael Bisping,6' 1,185 lbs.,6' 1,Orthodox,"Feb 28, 1979",4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3
82,286,286,Jan Blachowicz,6' 2,205 lbs.,6' 2,Orthodox,"Feb 24, 1983",3.59,0.49,2.79,0.53,1.18,0.53,0.65,0.2
83,289,289,Brad Blackburn,5' 10,170 lbs.,5' 10,Orthodox,"May 25, 1977",4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7
84,291,291,Maximo Blanco,5' 8,145 lbs.,5' 8,Orthodox,"Oct 16, 1983",4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3
85,300,300,Mark Bocek,5' 8,155 lbs.,5' 8,Orthodox,"Oct 24, 1981",2.34,0.43,2.32,0.6,3.65,0.36,0.31,1.3
86,305,305,Tim Boetsch,6' 0,185 lbs.,6' 0,Orthodox,"Jan 28, 1981",2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8
87,316,316,Rogerio Bontorin,5' 5,125 lbs.,5' 5,Orthodox,"Apr 25, 1992",2.19,0.5,3.12,0.38,1.9,0.4,0.51,1.6
88,317,317,Stephan Bonnar,6' 4,205 lbs.,6' 4,Orthodox,"Apr 04, 1977",2.76,0.38,3.01,0.52,1.32,0.4,0.6,1.0
89,318,318,Ray Borg,5' 4,135 lbs.,5' 4,Orthodox,"Aug 04, 1993",1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0
90,336,336,Brian Bowles,5' 7,135 lbs.,5' 7,Orthodox,"Jun 22, 1980",2.36,0.26,2.98,0.64,1.39,0.7,0.54,1.4
91,337,337,Roger Bowling,5' 9,155 lbs.,5' 9,Orthodox,"Dec 05, 1982",3.9,0.47,3.86,0.51,3.09,0.43,0.27,0.9
92,342,342,Sean Brady,5' 10,170 lbs.,5' 10,Orthodox,"Nov 23, 1992",4.72,0.55,3.6,0.63,2.69,0.6,1.0,1.2
93,349,349,Diego Brandao,5' 7,145 lbs.,5' 7,Orthodox,"May 27, 1987",2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6
94,357,357,Jason Brilz,5' 11,205 lbs.,5' 11,Orthodox,"Jul 07, 1975",2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3
95,365,365,Jonathan Brookins,6' 0,145 lbs.,6' 0,Southpaw,"Aug 13, 1985",2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3
96,366,366,Will Brooks,5' 10,155 lbs.,5' 10,Orthodox,"Oct 08, 1986",4.26,0.59,2.54,0.56,2.08,0.51,0.82,0.3
97,367,367,Jarred Brooks,5' 3,125 lbs.,5' 3,Switch,"May 02, 1993",2.12,0.46,1.66,0.62,4.54,0.57,0.69,0.6
98,371,371,Mike Brown,5' 6,145 lbs.,5' 6,Orthodox,"Sep 08, 1975",2.98,0.44,2.45,0.6,3.23,0.4,0.66,0.6
99,374,374,Matt Brown,6' 0,170 lbs.,6' 0,Orthodox,"Jan 10, 1981",3.69,0.54,2.67,0.55,1.56,0.44,0.63,1.4
100,376,376,TJ Brown,5' 9,145 lbs.,5' 9,Switch,"May 22, 1990",3.22,0.42,2.21,0.5,4.92,0.6,0.4,0.4
101,377,377,Damien Brown,5' 10,155 lbs.,5' 10,Orthodox,"Dec 25, 1984",3.66,0.38,4.86,0.5,0.68,0.27,0.53,0.7
102,378,378,Randy Brown,6' 3,170 lbs.,6' 3,Orthodox,"Jul 08, 1990",3.67,0.47,2.8,0.53,1.0,0.46,0.71,0.6
103,381,381,Travis Browne,6' 6,255 lbs.,6' 6,Orthodox,"Jul 17, 1982",2.93,0.41,4.31,0.42,1.21,0.68,0.75,0.2
104,388,388,Derek Brunson,6' 1,185 lbs.,6' 1,Southpaw,"Jan 04, 1984",3.46,0.47,2.72,0.53,3.11,0.33,0.94,0.5
105,399,399,Paul Buentello,6' 2,245 lbs.,6' 2,Orthodox,"Jan 16, 1974",3.29,0.45,3.83,0.52,0.19,0.33,0.39,0.4
106,404,404,Wuliji Buren,5' 9,135 lbs.,5' 9,Orthodox,"Mar 01, 1989",1.63,0.42,2.96,0.56,3.38,0.42,0.71,0.4
107,405,405,Shane Burgos,5' 11,145 lbs.,5' 11,Orthodox,"Mar 19, 1991",7.31,0.5,5.81,0.6,0.3,1.0,0.89,0.1
108,406,406,Joshua Burkman,5' 10,170 lbs.,5' 10,Orthodox,"Apr 10, 1980",2.69,0.43,3.13,0.51,2.53,0.36,0.72,0.3
109,407,407,Mads Burnell,5' 8,145 lbs.,5' 8,Orthodox,"Mar 06, 1994",1.28,0.41,2.71,0.51,3.45,0.47,0.22,0.4
110,410,410,Kevin Burns,5' 10,170 lbs.,5' 10,Orthodox,"Mar 03, 1980",2.74,0.38,4.3,0.52,0.28,0.5,0.47,0.8
111,411,411,Herbert Burns,5' 9,145 lbs.,5' 9,Orthodox,"Feb 02, 1988",1.67,0.45,5.02,0.33,4.64,0.83,0.75,2.8
112,412,412,Gilbert Burns,5' 10,170 lbs.,5' 10,Orthodox,"Jul 20, 1986",3.22,0.45,3.04,0.54,2.08,0.35,0.5,0.7
113,427,427,JP Buys,5' 5,125 lbs.,5' 5,Orthodox,"Apr 30, 1996",2.66,0.45,3.05,0.43,2.22,0.5,0.33,2.2
114,428,428,Dennis Buzukja,5' 9,145 lbs.,5' 9,Switch,"Oct 01, 1997",3.8,0.46,6.8,0.35,2.0,0.25,1.0,1.0
115,429,429,Charles Byrd,5' 10,185 lbs.,5' 10,Orthodox,"Oct 11, 1983",3.43,0.55,2.63,0.55,2.5,0.5,0.4,1.5
116,433,433,Yan Cabral,5' 11,155 lbs.,5' 11,Orthodox,"May 13, 1983",2.02,0.47,1.98,0.62,2.89,0.35,0.37,1.2
117,434,434,Alex Caceres,5' 10,145 lbs.,5' 10,Southpaw,"Jun 20, 1988",4.1,0.5,2.82,0.65,0.57,0.78,0.64,0.8
118,440,440,Joanne Calderwood,5' 6,125 lbs.,5' 6,Orthodox,"Dec 23, 1985",6.59,0.49,4.4,0.53,1.8,0.55,0.58,0.5
119,443,443,Cynthia Calvillo,5' 4,125 lbs.,5' 4,Orthodox,"Jul 13, 1987",4.18,0.41,3.52,0.67,1.85,0.44,0.71,1.1
120,445,445,Fabricio Camoes,5' 10,155 lbs.,5' 10,Orthodox,"Dec 23, 1978",1.29,0.33,1.85,0.61,2.34,0.32,0.2,1.5
121,446,446,Chris Camozzi,6' 2,185 lbs.,6' 2,Orthodox,"Nov 20, 1986",3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5
122,454,454,Will Campuzano,5' 9,125 lbs.,5' 9,Orthodox,"May 27, 1986",2.43,0.31,3.82,0.57,0.88,0.45,0.48,0.2
123,455,455,Chico Camus,5' 6,125 lbs.,5' 6,Orthodox,"Jan 26, 1985",2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4
124,460,460,Guido Cannetti,5' 6,135 lbs.,5' 6,Southpaw,"Dec 19, 1979",2.85,0.51,2.17,0.5,2.64,0.5,0.75,0.3
125,461,461,Luiz Cane,6' 2,185 lbs.,6' 2,Southpaw,"Apr 24, 1981",4.79,0.41,5.0,0.6,0.56,0.28,1.0,0.3
126,466,466,Phil Caracappa,5' 8,135 lbs.,5' 8,Orthodox,"Jun 05, 1992",2.93,0.5,4.07,0.29,1.0,0.08,1.0,1.0
127,467,467,Steve Cantwell,6' 2,185 lbs.,6' 2,Orthodox,"Dec 08, 1986",3.63,0.34,5.76,0.55,0.65,0.3,0.8,0.7
128,473,473,Bryan Caraway,5' 8,135 lbs.,5' 8,Orthodox,"Aug 04, 1984",2.53,0.34,3.61,0.54,2.57,0.25,0.8,0.8
129,475,475,Chris Cariaso,5' 3,125 lbs.,5' 3,Southpaw,"May 27, 1981",3.35,0.43,2.23,0.61,1.11,0.39,0.57,0.8
130,479,479,Antonio Carlos Junior,6' 2,185 lbs.,6' 2,Orthodox,"Mar 16, 1990",1.95,0.42,2.14,0.52,3.42,0.39,0.53,0.8
131,480,480,Spike Carlyle,5' 8,145 lbs.,5' 8,Switch,"May 06, 1993",2.55,0.54,3.85,0.3,3.34,0.36,0.57,0.5
132,481,481,Francis Carmont,6' 3,205 lbs.,6' 3,Orthodox,"Oct 11, 1981",2.22,0.42,1.64,0.59,1.79,0.36,0.73,0.6
133,482,482,Liz Carmouche,5' 6,125 lbs.,5' 6,Orthodox,"Feb 19, 1984",2.78,0.54,2.51,0.61,2.57,0.51,0.65,0.3
134,484,484,Roan Carneiro,5' 11,170 lbs.,5' 11,Orthodox,"Jun 02, 1978",1.46,0.46,1.82,0.62,3.05,0.42,0.83,1.4
135,498,498,Johnny Case,5' 10,155 lbs.,5' 10,Orthodox,"Jun 28, 1989",3.95,0.38,2.66,0.61,1.7,0.45,0.72,0.2
136,499,499,Kevin Casey,5' 11,185 lbs.,5' 11,Southpaw,"Jun 15, 1981",2.27,0.53,3.76,0.46,0.79,0.22,0.27,0.4
137,500,500,Cortney Casey,5' 7,125 lbs.,5' 7,Orthodox,"May 05, 1987",4.33,0.38,4.19,0.52,0.28,0.27,0.38,0.6
138,511,511,Danny Castillo,5' 9,155 lbs.,5' 9,Orthodox,"Aug 25, 1979",2.57,0.42,1.96,0.62,2.95,0.38,0.63,0.2
139,512,512,Nick Catone,6' 0,185 lbs.,6' 0,Southpaw,"Sep 01, 1981",2.11,0.44,2.32,0.63,3.71,0.44,0.83,0.5
140,514,514,Gesias Cavalcante,5' 8,155 lbs.,5' 8,Orthodox,"Jul 06, 1983",1.98,0.35,3.11,0.51,1.25,0.36,0.66,1.1
141,515,515,Rafael Cavalcante,6' 1,205 lbs.,6' 1,Orthodox,"Apr 14, 1980",2.71,0.53,3.62,0.49,0.6,0.4,0.63,0.1
142,517,517,Henry Cejudo,5' 4,135 lbs.,5' 4,Orthodox,"Feb 09, 1987",3.92,0.45,2.77,0.65,2.12,0.33,0.93,0.2
143,519,519,Magnus Cedenblad,6' 5,185 lbs.,6' 5,Orthodox,"Apr 10, 1982",2.38,0.51,3.02,0.4,2.87,0.64,0.66,1.0
144,521,521,Luan Chagas,6' 0,170 lbs.,6' 0,Orthodox,"Jun 17, 1993",4.16,0.47,3.19,0.62,0.32,0.12,0.85,0.3
145,522,522,Donald Cerrone,6' 1,155 lbs.,6' 1,Orthodox,"Mar 29, 1983",4.43,0.46,4.46,0.53,1.19,0.33,0.73,1.2
146,525,525,Alex Chambers,5' 3,115 lbs.,5' 3,Southpaw,"Oct 25, 1978",2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0
147,527,527,Michael Chandler,5' 8,155 lbs.,5' 8,Orthodox,"Apr 24, 1986",4.29,0.49,3.76,0.52,2.37,0.41,0.8,1.4
148,537,537,Macy Chiasson,5' 11,135 lbs.,5' 11,Orthodox,"Jul 27, 1991",4.16,0.49,2.17,0.46,0.98,0.21,0.64,0.5
149,539,539,Michael Chiesa,6' 1,170 lbs.,6' 1,Southpaw,"Dec 07, 1987",1.89,0.4,1.71,0.54,3.6,0.52,0.68,0.9
150,540,540,Khamzat Chimaev,6' 2,170 lbs.,6' 2,Orthodox,"May 01, 1994",9.03,0.72,0.1,0.66,4.67,0.75,0.0,3.1
151,546,546,John Cholish,5' 11,155 lbs.,5' 11,Orthodox,"Dec 17, 1983",2.65,0.49,2.29,0.73,1.82,0.31,0.78,0.4
152,550,550,Ryo Chonan,5' 9,170 lbs.,5' 9,Orthodox,"Oct 08, 1976",2.57,0.43,2.25,0.6,0.61,0.41,0.39,0.3
153,552,552,Katlyn Chookagian,5' 9,125 lbs.,5' 9,Orthodox,"Dec 28, 1988",4.22,0.34,4.23,0.63,0.27,0.15,0.51,0.5
154,559,559,Hannah Cifers,5' 1,115 lbs.,5' 1,Orthodox,"Jun 26, 1992",4.99,0.44,5.39,0.52,0.26,1.0,0.64,0.3
155,560,560,Misha Cirkunov,6' 3,205 lbs.,6' 3,Orthodox,"Feb 27, 1987",4.18,0.51,3.22,0.6,4.28,0.57,0.71,2.3
156,566,566,Devin Clark,6' 0,205 lbs.,6' 0,Orthodox,"Apr 12, 1990",3.33,0.57,2.43,0.48,2.7,0.36,0.76,0.1
157,567,567,Jessica-Rose Clark,5' 5,125 lbs.,5' 5,Orthodox,"Nov 28, 1987",4.68,0.51,3.98,0.6,1.01,0.55,0.73,0.4
158,568,568,Heather Clark,5' 6,115 lbs.,5' 6,Orthodox,"Sep 19, 1980",3.69,0.49,5.62,0.5,0.33,0.04,0.8,0.3
159,570,570,Rich Clementi,5' 9,155 lbs.,5' 9,Southpaw,"Mar 31, 1976",1.43,0.37,2.29,0.6,1.72,0.42,0.25,1.1
160,572,572,Mitch Clarke,5' 10,155 lbs.,5' 10,Orthodox,"Nov 24, 1985",2.35,0.34,3.27,0.47,0.64,0.15,0.5,0.4
161,580,580,Marloes Coenen,5' 9,145 lbs.,5' 9,,"Mar 31, 1981",2.15,0.51,1.9,0.67,0.82,0.3,0.41,2.5
162,582,582,Felipe Colares,5' 8,135 lbs.,5' 8,Orthodox,"Mar 31, 1994",1.13,0.42,3.0,0.32,2.0,0.25,0.34,1.0
163,589,589,Mark Coleman,6' 1,205 lbs.,6' 1,Orthodox,"Dec 20, 1964",1.88,0.52,2.62,0.4,3.89,0.4,0.5,0.8
164,590,590,Clay Collard,5' 11,145 lbs.,5' 11,Orthodox,"Mar 10, 1993",4.22,0.32,5.0,0.5,2.81,0.39,0.71,0.5
165,591,591,Jamie Colleen,5' 3,115 lbs.,5' 3,Orthodox,"Nov 02, 1985",3.11,0.61,5.66,0.33,0.52,0.33,0.5,1.6
166,592,592,Jake Collier,6' 3,230 lbs.,6' 3,Orthodox,"Oct 25, 1988",4.92,0.41,4.09,0.53,0.57,0.23,0.67,0.4
167,595,595,Carlos Condit,6' 2,170 lbs.,6' 2,Orthodox,"Apr 26, 1984",3.63,0.39,2.49,0.56,0.62,0.54,0.39,1.0
168,596,596,Montserrat Conejo,5' 0,115 lbs.,5' 0,Southpaw,"Feb 03, 1993",1.0,0.36,2.07,0.52,4.0,0.8,0.0,2.0
169,611,611,Amanda Cooper,5' 3,115 lbs.,5' 3,Switch,"Oct 22, 1991",3.55,0.44,3.2,0.51,1.53,0.38,0.28,1.8
170,617,617,Daniel Cormier,5' 11,235 lbs.,5' 11,Orthodox,"Mar 20, 1979",4.25,0.52,2.92,0.54,1.83,0.44,0.8,0.4
